time,open,high,low,close,tick_volume,spread,real_volume
2026-07-20 21:15:00+00:00,4008.87,4011.88,4003.45,4006.87,1883,8,0
2026-07-20 21:30:00+00:00,4006.78,4007.58,4004.44,4006.49,1959,8,0
2026-07-20 21:45:00+00:00,4006.48,4008.86,4005.41,4007.33,1773,8,0
2026-07-20 22:00:00+00:00,4007.32,4008.05,4004.43,4004.68,1547,8,0
2026-07-20 22:15:00+00:00,4004.69,4012.82,4004.38,4012.82,1687,8,0
2026-07-20 22:30:00+00:00,4012.94,4017.91,4005.37,4005.84,2207,8,0
2026-07-20 22:45:00+00:00,4005.75,4009.96,4005.69,4006.89,2037,8,0
2026-07-20 23:00:00+00:00,4006.98,4009.5,4005.74,4007.86,1058,8,0
2026-07-20 23:15:00+00:00,4007.8,4009.24,4007.12,4008.23,543,8,0
2026-07-20 23:30:00+00:00,4008.24,4009.56,4007.38,4008.87,594,8,0
2026-07-20 23:45:00+00:00,4008.86,4008.87,4007.09,4008.3,1127,10,0
2026-07-21 01:00:00+00:00,4009.7,4010.65,4005.85,4007.07,704,12,0
